class_name,day,subject,teacher,room,number,time
6а класс,четверг,русский язык,Ольга Николаевна,209,5,12:40-13:20
6а класс,четверг,физкультура,Анатолий,,6,13:30-14:10
6а класс,четверг,обед, ,,7,14:15-14:35
6а класс,пятница,география,Виктория,-12,1,09:00-09:45
6а класс,пятница,география,Виктория,-12,2,09:55-10:35
6а класс,пятница,русский язык,Ольга Николаевна,209,3,10:50-11:30
6а класс,пятница,литература,Стася,01,4,11:50-12:30
6а класс,пятница,математика,Лариса С.,212,5,12:40-13:20
6а класс,пятница,классный час,Анастасия Х.,-11,6,13:30-14:10
6а класс,пятница,обед, ,,7,14:15-14:35
6б класс,понедельник,русский язык,Ольга Николаевна,209,1,09:00-09:45
6б класс,понедельник,математика,Лариса С.,210-1,2,09:55-10:35
6б класс,понедельник,биология,Николай,210-1,3,10:50-11:30
6б класс,понедельник,английский,Елена,211-1,4,11:50-12:30
6б класс,понедельник,тренинг,Анастасия Х.,-11,5,12:40-13:20
6б класс,понедельник,литература,Стася,01,6,13:30-14:10
6б класс,понедельник,обед, ,,7,14:15-14:35
6б класс,вторник,математика,Лариса С.,212-1,1,09:00-09:45
6б класс,вторник,русский язык,Ольга Николаевна,212-1,2,09:55-10:35
6б класс,вторник,математика+,Лариса С.,212,3,10:50-11:30
6б класс,вторник,английский,Елена,211-1,4,11:50-12:30
6б класс,вторник,история,Стася,01,5,12:40-13:20
6б класс,вторник,физкультура,Анатолий,,6,13:30-14:10
6б класс,вторник,обед, ,,7,14:15-14:35
6б класс,среда,русский язык,Ольга Николаевна,209,1,09:00-09:45
6б класс,среда,биология,Николай,215,2,09:55-10:35
6б класс,среда,английский,Елена,210-1,3,10:50-11:30
6б класс,среда,информатика,Фил,212-1,4,11:50-12:30
6б класс,среда,МХК/ТРИЗ,Виктория,-12,5,12:40-13:20
6б класс,среда,литература,Стася,01,6,13:30-14:10
6б класс,среда,обед, ,,7,14:15-14:35
6б класс,четверг,русский язык,Ольга Николаевна,211-1,1,09:00-09:45
6б класс,четверг,классный час,Анастасия Х.,-12,2,09:55-10:35
6б класс,четверг,английский,Елена,211-1,3,10:50-11:30
6б класс,четверг,история,Стася,01,4,11:50-12:30
6б класс,четверг,математика,Лариса С.,212-1,5,12:40-13:20
6б класс,четверг,физкультура,Анатолий,,6,13:30-14:10
6б класс,четверг,обед, ,,7,14:15-14:35
6б класс,пятница,география,Виктория,-12,1,09:00-09:45
6б класс,пятница,география,Виктория,-12,2,09:55-10:35
6б класс,пятница,математика,Лариса С.,212,3,10:50-11:30
6б класс,пятница,русский язык,Ольга Николаевна,212-1,4,11:50-12:30
6б класс,пятница,литература,Стася,212-1,5,12:40-13:20
6б класс,пятница,классный час,Анастасия Х.,-11,6,13:30-14:10
6б класс,пятница,обед, ,,7,14:15-14:35
7а класс,понедельник,общество,Стася,01,1,09:00-09:45
7а класс,понедельник,история,Стася,215-1,2,09:55-10:35
7а класс,понедельник,русский язык,Елизавета,211-1,3,10:50-11:30
7а класс,понедельник,физика,Евгения,-11,4,11:50-12:30
7а класс,понедельник,алгебра,Лариса С.,212-1,5,12:40-13:20
7а класс,понедельник,биология,Николай,209,6,13:30-14:10
7а класс,понедельник,обед, ,,7,14:15-14:35
7а класс,вторник,русский язык сам. раб.,Елизавета,209-1,1,09:00-09:45
7а класс,вторник,литература,Стася,01,2,09:55-10:35
7а класс,вторник,английский,Татьяна Ивановна,211-1,3,10:50-11:30
7а класс,вторник,физика,Евгения,-11,4,11:50-12:30
7а класс,вторник,алгебра,Лариса С.,211-1,5,12:40-13:20
7а класс,вторник,физкультура,Анатолий,,6,13:30-14:10
